"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2020-01",5.269611,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.081623,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.220101,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.358871,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.068942,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.440282,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.479592,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.807751,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.913334,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.996009,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.4,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-05",5.7,
"AUT","HUR","TOT","PC_LF","M","2020-06",5.9,
"AUT","HUR","TOT","PC_LF","M","2020-07",5.7,
"AUT","HUR","TOT","PC_LF","M","2020-08",5.5,
"AUT","HUR","TOT","PC_LF","M","2020-09",5.4,
"AUT","HUR","TOT","PC_LF","M","2020-10",5.4,
"BEL","HUR","TOT","PC_LF","M","2020-01",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",5,
"BEL","HUR","TOT","PC_LF","M","2020-04",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5,
"BEL","HUR","TOT","PC_LF","M","2020-07",5,
"BEL","HUR","TOT","PC_LF","M","2020-08",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-09",5.2,
"BEL","HUR","TOT","PC_LF","M","2020-10",5.1,
"CAN","HUR","TOT","PC_LF","M","2020-01",5.5,
"CAN","HUR","TOT","PC_LF","M","2020-02",5.6,
"CAN","HUR","TOT","PC_LF","M","2020-03",7.8,
"CAN","HUR","TOT","PC_LF","M","2020-04",13,
"CAN","HUR","TOT","PC_LF","M","2020-05",13.7,
"CAN","HUR","TOT","PC_LF","M","2020-06",12.3,
"CAN","HUR","TOT","PC_LF","M","2020-07",10.9,
"CAN","HUR","TOT","PC_LF","M","2020-08",10.2,
"CAN","HUR","TOT","PC_LF","M","2020-09",9,
"CAN","HUR","TOT","PC_LF","M","2020-10",8.9,
"CZE","HUR","TOT","PC_LF","M","2020-01",2,
"CZE","HUR","TOT","PC_LF","M","2020-02",2,
"CZE","HUR","TOT","PC_LF","M","2020-03",2.1,
"CZE","HUR","TOT","PC_LF","M","2020-04",2.2,
"CZE","HUR","TOT","PC_LF","M","2020-05",2.4,
"CZE","HUR","TOT","PC_LF","M","2020-06",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-07",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-08",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-09",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-10",2.9,
"DNK","HUR","TOT","PC_LF","M","2020-01",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-02",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-03",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-04",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-05",5.5,
"DNK","HUR","TOT","PC_LF","M","2020-06",6,
"DNK","HUR","TOT","PC_LF","M","2020-07",6.3,
